Name,Rank,Arating,Grating,votes
Between Two Cities,509,7.06,6.837000000000001,7824
Cryptid,510,7.59,6.837000000000001,2315
Churchill,511,7.71,6.836,1959
Yedo,512,7.42,6.836,3087
Cacao,513,7.12,6.835,6342
Panamax,514,7.35,6.835,3161
Super Motherload,515,7.45,6.834,2740
Star Wars: The Card Game,516,7.26,6.834,4893
Onirim (second edition),517,7.15,6.832999999999999,5881
Summoner Wars: Guild Dwarves vs Cave Goblins,518,7.61,6.832999999999999,2205
The Oracle of Delphi,519,7.34,6.832999999999999,3285
Virgin Queen,520,8.06,6.832999999999999,1421
Combat Commander: Pacific,521,8.07,6.832999999999999,1324
Tinners' Trail,522,7.29,6.831,3648
Dungeons & Dragons: The Legend of Drizzt Board Game,523,7.29,6.831,4928
Brew Crafters,524,7.54,6.829,2363
Valeria: Card Kingdoms,525,7.46,6.827999999999999,2812
Conflict of Heroes: Awakening the Bear! (second edition),526,8.01,6.827000000000001,1549
Saint Petersburg (second edition),527,7.53,6.827000000000001,2338
Legendary: Villains – A Marvel Deck Building Game,528,7.65,6.8260000000000005,2286
Tribune: Primus Inter Pares,529,7.23,6.8260000000000005,4214
Exit: The Game – The Secret Lab,530,7.25,6.825,3848
Friedrich,531,7.56,6.824,2372
Squad Leader,532,7.49,6.824,2931
13 Days: The Cuban Missile Crisis,533,7.44,6.822,2805
Black Orchestra,534,7.54,6.821000000000001,2519
Yamataï,535,7.27,6.821000000000001,3963
One Deck Dungeon,536,7.22,6.82,4985
Union Pacific,537,7.23,6.82,4076
The Networks,538,7.27,6.819,3816
Century: Eastern Wonders,539,7.4,6.818,2991
The Mind,540,7.04,6.818,8197
Carcassonne: The Castle,541,7.09,6.817,6972
Pax Renaissance,542,8.07,6.817,1367
ZÈRTZ,543,7.31,6.816,3635
Age of Industry,544,7.4,6.815,2765
Diplomacy,545,7.05,6.815,11121
Ascension: Deckbuilding Game,546,7.03,6.812,10464
Arkwright,547,7.91,6.812,1499
Mexica,548,7.21,6.811,4321
Jambo,549,7.03,6.81,7679
Smash Up: Science Fiction Double Feature,550,7.36,6.81,3351
Spyrium,551,7.12,6.808,5304
Blue Moon City,552,7.05,6.808,7151
Newton,553,7.72,6.807,1770
Kanagawa,554,7.16,6.805,4994
Deep Sea Adventure,555,7.09,6.805,6554
Reef Encounter,556,7.14,6.803,4789
Wits & Wagers,557,6.95,6.801,11886
Wir sind das Volk!,558,7.87,6.801,1557
Bridge,559,7.46,6.7989999999999995,2734
XCOM: The Board Game,560,7.09,6.7989999999999995,6792
Heroscape Master Set: Swarm of the Marro,561,7.62,6.7989999999999995,2147
Space Hulk: Death Angel – The Card Game,562,6.99,6.797000000000001,11182
HeroQuest,563,7.1,6.796,9637
Telestrations: 12 Player Party Pack,564,7.78,6.795,1671
Nusfjord,565,7.55,6.795,2139
Finca,566,7.07,6.792000000000001,6254
Caverna: Cave vs Cave,567,7.31,6.792000000000001,3154
Blokus,568,6.91,6.791,19849
Carcassonne: The City,569,7.2,6.791,4018
Ca$h 'n Guns (Second Edition),570,6.96,6.789,10322
Lords of Xidit,571,7.18,6.789,4197
Genoa,572,7.1,6.787999999999999,5712
Homesteaders,573,7.27,6.787999999999999,3223
Maharaja: The Game of Palace Building in India,574,7.15,6.787999999999999,4705
Hyperborea,575,7.26,6.787000000000001,3710
Marvel Dice Masters: Uncanny X-Men,576,7.28,6.7860000000000005,3474
Space Base,577,7.44,6.7860000000000005,2610
FUSE,578,7.11,6.785,5379
Dice Throne: Season One,579,7.85,6.785,2206
Scoville,580,7.19,6.785,4079
Adrenaline,581,7.18,6.782,4316
San Marco,582,7.18,6.782,4042
